City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,keflavik,64.0049,-22.5624,18.24,42,0,3.09,IS,1688843431
84,vila do maio,15.1333,-23.2167,29.44,81,75,5.31,CV,1688843431
85,puerto ayora,-0.7393,-90.3518,30.98,88,49,4.02,EC,1688843432
86,richards bay,-28.783,32.0377,19.98,54,6,2.19,ZA,1688843432
87,priob'ye,62.5206,65.5964,14.13,66,100,1.7,RU,1688843433
88,arraial do cabo,-22.9661,-42.0278,26.92,54,0,2.57,BR,1688843433
89,wailua homesteads,22.0669,-159.378,27.24,73,75,8.75,US,1688843433
90,kaedi,16.1465,-13.5047,37.78,28,55,4.22,MR,1688843433
91,lerwick,60.1545,-1.1494,17.0,81,32,5.09,GB,1688843433
92,acarau,-2.8856,-40.12,28.71,69,5,8.0,BR,1688843347
93,ancud,-41.8697,-73.8203,8.62,89,100,10.28,CL,1688843434
94,blackmans bay,-43.0167,147.3167,7.07,90,11,7.29,AU,1688843434
95,vorgashor,67.5833,63.95,9.61,76,97,2.39,RU,1688843434
96,bahia blanca,-38.7196,-62.2724,12.68,62,24,3.58,AR,1688843434
97,college,64.8569,-147.8028,14.48,71,75,8.75,US,1688843432
98,ouadda,8.0777,22.4007,21.15,86,100,1.1,CF,1688843435
99,longonjo,-12.9067,15.2533,16.61,31,0,1.87,AO,1688843435
100,camacupa,-12.0167,17.4833,15.86,31,56,0.97,AO,1688843435
101,avarua,-21.2078,-159.775,25.03,88,20,3.09,CK,1688843435
102,puntarenas,9.9763,-84.8384,30.15,71,88,1.65,CR,1688843436
103,st. john's,47.5649,-52.7093,23.97,86,75,3.09,CA,1688843334
104,thompson,55.7435,-97.8558,15.09,88,100,4.12,CA,1688843436
105,prado,-17.3411,-39.2208,23.77,77,88,3.9,BR,1688843255
106,monte plata,18.807,-69.784,32.81,48,94,2.58,DO,1688843437
107,belyy yar,53.6039,91.3903,17.94,77,0,4.0,RU,1688843437
108,afaahiti,-17.75,-149.2833,26.93,86,92,8.77,PF,1688843438
109,west island,-12.1568,96.8225,25.99,78,40,5.66,CC,1688843438
110,port lincoln,-34.7333,135.8667,12.31,80,0,5.2,AU,1688843438
111,utrik,11.2278,169.8474,27.77,81,100,7.66,MH,1688843438
112,maceio,-9.6658,-35.7353,26.69,83,75,5.66,BR,1688843198
113,la passe,45.5549,-0.8967,28.13,75,100,4.43,FR,1688843439
114,aral,40.5156,81.2636,26.23,33,100,2.39,CN,1688843439
115,el calafate,-50.3408,-72.2768,-2.65,69,58,0.58,AR,1688843439
116,galveston,29.3669,-94.9669,32.83,74,40,5.14,US,1688843439
117,winslow,35.0242,-110.6974,36.1,11,0,8.23,US,1688843440
118,bubaque,11.2833,-15.8333,28.06,70,42,3.75,GW,1688843440
119,kavaratti,10.5669,72.642,28.0,78,100,6.28,IN,1688843440
120,jiuquan,39.7432,98.5174,25.39,19,5,1.68,CN,1688843440
121,ta`u,-14.2336,-169.5144,27.19,78,100,6.43,AS,1688843441
122,chonchi,-42.6128,-73.8092,8.56,92,100,4.55,CL,1688843441
123,polyarnyy,69.1989,33.4478,6.7,79,90,5.09,RU,1688843441
124,columbia falls,48.3725,-114.1815,28.84,34,0,3.09,US,1688843441
125,pizarro,4.9533,-77.366,28.77,69,23,2.94,CO,1688843441
126,iskateley,67.6803,53.1512,5.85,81,100,4.98,RU,1688843442
127,portland,45.5234,-122.6762,18.99,65,100,1.54,US,1688843025
128,yeppoon,-23.1333,150.7333,6.88,53,0,2.17,AU,1688843442
129,island harbour,50.724,-1.2758,20.1,90,100,4.73,GB,1688843442
130,crane,31.3974,-102.3501,34.29,34,13,8.1,US,1688843442
131,stanley,54.868,-1.6985,20.16,87,20,3.09,GB,1688843443
132,tura,25.5198,90.2201,23.9,97,100,2.41,IN,1688843163
133,mount pearl,47.5166,-52.7813,23.51,85,75,3.09,CA,1688843282
134,santo antonio,-6.3106,-35.4789,26.24,75,57,5.04,BR,1688843443
135,kouango,4.9934,19.9619,23.03,82,99,1.18,CF,1688843443
136,shchyolkino,45.4291,35.8223,23.78,81,62,6.46,UA,1688843444
137,talnakh,69.4865,88.3972,14.56,84,100,1.8,RU,1688843444
138,hithadhoo,-0.6,73.0833,27.52,67,100,0.56,MV,1688843444
139,toliara,-23.35,43.6667,21.05,83,5,1.32,MG,1688843444
140,tripoli,32.8752,13.1875,29.94,52,0,6.26,LY,1688843302
141,kapa'a,22.0752,-159.319,27.99,75,75,8.75,US,1688843203
142,rockport,28.0206,-97.0544,35.05,78,40,4.63,US,1688843445
